,west,east,south,north,central,national
507,[62.83675003051758],[58.982662200927734],[62.863834381103516],[57.78953170776367],[60.99396896362305],[62.725547790527344]
508,[62.8065071105957],[58.982662200927734],[62.863834381103516],[56.61225509643555],[59.829891204833984],[62.725547790527344]
509,[61.65131759643555],[58.982662200927734],[64.02630615234375],[56.65449523925781],[61.020381927490234],[64.00181579589844]
510,[61.70064926147461],[58.982662200927734],[62.84009552001953],[56.728843688964844],[61.04800796508789],[62.62753677368164]
511,[62.83919143676758],[60.12367630004883],[62.83716583251953],[56.81745147705078],[61.06692886352539],[62.63810348510742]
512,[61.73517990112305],[60.120967864990234],[63.898414611816406],[55.641761779785156],[62.114341735839844],[63.88827133178711]
513,[61.73291778564453],[61.17416000366211],[63.99835205078125],[55.68583679199219],[60.96126937866211],[63.905086517333984]
514,[61.7442512512207],[59.954830169677734],[63.96998977661133],[55.759010314941406],[59.75956344604492],[63.81886672973633]
515,[61.773189544677734],[59.885887145996094],[62.691062927246094],[54.67203140258789],[59.791683197021484],[62.42152786254883]
516,[60.64225769042969],[58.72956466674805],[62.71305465698242],[54.71800231933594],[58.75985336303711],[62.52253723144531]
517,[59.53773880004883],[57.67301559448242],[61.59153366088867],[54.79009246826172],[57.704078674316406],[61.332305908203125]
518,[57.27835464477539],[56.62521743774414],[60.594627380371094],[53.70301055908203],[57.826290130615234],[60.26912307739258]
519,[56.36555099487305],[55.65070724487305],[59.50367736816406],[53.75098419189453],[57.97058868408203],[59.183189392089844]
520,[55.42934036254883],[55.82696533203125],[59.65743637084961],[53.82207489013672],[58.04776382446289],[59.48447036743164]
521,[55.64529037475586],[55.96675109863281],[58.6600341796875],[53.907203674316406],[56.88279342651367],[58.40898513793945]
522,[54.57154846191406],[56.03289031982422],[58.79882049560547],[53.907203674316406],[56.926753997802734],[58.620540618896484]
523,[54.68204116821289],[56.03289031982422],[57.68223571777344],[53.907203674316406],[56.98934555053711],[57.433990478515625]
524,[54.730918884277344],[56.03289031982422],[56.683876037597656],[53.907203674316406],[57.06711196899414],[56.37221145629883]
525,[53.61459732055664],[56.03289031982422],[56.72483825683594],[53.907203674316406],[57.06711196899414],[55.2873649597168]
526,[53.68336486816406],[56.03289031982422],[56.86442947387695],[53.907203674316406],[57.06711196899414],[54.31277084350586]
527,[52.56731033325195],[54.88637161254883],[56.98199462890625],[53.907203674316406],[57.06711196899414],[54.60692596435547]
528,[52.685386657714844],[54.91498947143555],[55.83882141113281],[52.73469543457031],[55.90138244628906],[53.53158950805664]
529,[51.566650390625],[54.9864616394043],[54.725982666015625],[52.78472900390625],[54.758575439453125],[52.47128677368164]
530,[51.68855285644531],[55.05068588256836],[55.91273880004883],[52.85489273071289],[56.04292678833008],[52.654720306396484]
531,[50.567047119140625],[53.906497955322266],[56.02710723876953],[51.76701736450195],[56.14376449584961],[51.579261779785156]
532,[50.69283676147461],[53.93693923950195],[53.83591842651367],[51.81916046142578],[53.81330108642578],[51.78378677368164]
533,[49.56850051879883],[52.860313415527344],[52.642982482910156],[50.721595764160156],[52.625553131103516],[51.862361907958984]
534,[48.509971618652344],[51.8150520324707],[52.69963073730469],[50.85417938232422],[52.83721160888672],[50.71076965332031]
535,[47.4680290222168],[51.92287826538086],[51.805538177490234],[50.92279815673828],[51.891571044921875],[50.806724548339844]
536,[45.2418212890625],[50.90483856201172],[51.94004821777344],[49.8332633972168],[52.0274772644043],[48.35904312133789]
537,[45.597267150878906],[51.00581741333008],[51.96387481689453],[49.889678955078125],[52.09292221069336],[46.1297721862793]
538,[44.54693603515625],[52.199703216552734],[53.22309112548828],[51.134986877441406],[53.309268951416016],[45.2493896484375]
539,[45.91349792480469],[53.341514587402344],[53.19491195678711],[52.348899841308594],[53.287445068359375],[46.974361419677734]
540,[50.237789154052734],[53.27206802368164],[54.312740325927734],[52.22236633300781],[54.35295867919922],[49.565608978271484]
541,[52.2322998046875],[55.346126556396484],[55.323516845703125],[52.05766677856445],[55.36988067626953],[52.94620895385742]
542,[52.09566879272461],[55.31888961791992],[55.27060317993164],[53.153160095214844],[55.313270568847656],[52.68367004394531]
543,[51.85660171508789],[56.278038024902344],[56.279510498046875],[54.28839111328125],[56.30195999145508],[53.504703521728516]
544,[52.90144729614258],[56.171810150146484],[56.14268493652344],[54.164085388183594],[56.217586517333984],[53.127445220947266]
545,[53.95364761352539],[57.2173957824707],[57.262882232666016],[55.18168640136719],[57.27796936035156],[54.291446685791016]
546,[54.968666076660156],[58.27617263793945],[58.274009704589844],[55.043426513671875],[58.29470443725586],[55.343017578125]
547,[54.877628326416016],[58.20804214477539],[59.36622619628906],[56.15339660644531],[59.32821273803711],[56.426639556884766]
548,[55.90201187133789],[59.19392013549805],[60.351463317871094],[56.0161018371582],[60.30488586425781],[56.17560958862305]
549,[55.83879470825195],[60.25761032104492],[63.599510192871094],[57.12648010253906],[63.28232955932617],[57.23970413208008]
550,[54.660701751708984],[61.304134368896484],[64.55313110351562],[59.38283920288086],[64.34273529052734],[54.52335739135742]
551,[53.51041793823242],[53.1535758972168],[55.4556770324707],[54.49424743652344],[54.49993133544922],[34.82161331176758]
552,[53.646484375],[53.38851547241211],[55.20197677612305],[54.43534851074219],[54.80459976196289],[34.614444732666016]
553,[54.8570671081543],[53.623504638671875],[55.10179138183594],[54.55028533935547],[55.41623306274414],[34.396759033203125]
554,[54.842681884765625],[54.06905746459961],[56.00120544433594],[56.06079864501953],[56.0871696472168],[36.0109748840332]
555,[55.90201187133789],[54.06905746459961],[56.00120544433594],[56.0161018371582],[56.0871696472168],[36.26010513305664]
556,[55.83879470825195],[55.194820404052734],[57.15139389038086],[57.12648010253906],[54.920440673828125],[37.57022476196289]
557,[55.79885482788086],[55.186214447021484],[57.124847412109375],[56.989952087402344],[54.96528244018555],[36.26067352294922]
558,[56.86933517456055],[55.1120491027832],[57.09719467163086],[56.90876007080078],[56.16738510131836],[38.70796585083008]
559,[56.83481216430664],[55.05068588256836],[56.98199462890625],[56.81745147705078],[56.217586517333984],[39.72032928466797]
560,[56.79619216918945],[55.05068588256836],[56.98199462890625],[56.81745147705078],[57.27796936035156],[40.81013870239258]
561,[56.762359619140625],[55.05068588256836],[56.98199462890625],[56.81745147705078],[57.1959114074707],[41.69900894165039]
562,[55.617061614990234],[55.05068588256836],[58.13335037231445],[58.005615234375],[55.98744583129883],[43.83480453491211]
563,[56.807621002197266],[53.906497955322266],[58.10689163208008],[57.964935302734375],[55.945716857910156],[43.59840393066406]
564,[56.803409576416016],[55.07322692871094],[58.07917404174805],[57.88219451904297],[56.0087890625],[43.36459732055664]
565,[56.79619216918945],[56.24843978881836],[59.115325927734375],[58.97990417480469],[57.213016510009766],[45.586997985839844]
566,[56.762359619140625],[57.33396911621094],[59.088836669921875],[58.941043853759766],[58.29470443725586],[51.950557708740234]
567,[56.762359619140625],[57.219173431396484],[57.91376495361328],[57.67098617553711],[57.11447525024414],[53.18522644042969]
568,[56.762359619140625],[58.20516586303711],[57.81987380981445],[57.62397766113281],[57.00728225708008],[53.926876068115234]
569,[55.617061614990234],[58.145084381103516],[57.84362030029297],[56.52961349487305],[56.98934555053711],[54.45656204223633]
570,[55.680702209472656],[59.19392013549805],[59.115325927734375],[56.65449523925781],[57.06711196899414],[54.21294021606445]
571,[54.57154846191406],[57.98544692993164],[57.939754486083984],[56.728843688964844],[58.19136047363281],[54.03123092651367]
572,[54.68204116821289],[57.92145919799805],[57.93639373779297],[56.81745147705078],[58.17506408691406],[53.92452621459961]
573,[54.730918884277344],[57.92874526977539],[58.996063232421875],[56.81745147705078],[59.233055114746094],[53.92452621459961]
574,[54.766414642333984],[57.998878479003906],[59.088844299316406],[56.81745147705078],[59.15504455566406],[55.17250442504883]
575,[54.766414642333984],[57.998878479003906],[59.06105041503906],[56.81745147705078],[59.10336685180664],[55.088157653808594]
576,[54.76641845703125],[57.99888610839844],[57.798072814941406],[56.81745147705078],[57.864688873291016],[55.01075744628906]
577,[54.76641845703125],[56.84658432006836],[58.96998977661133],[56.81745147705078],[59.05611801147461],[56.154048919677734]
578,[54.76641845703125],[56.8724365234375],[58.9690055847168],[55.641761779785156],[59.0839729309082],[56.0684700012207]
579,[54.76641845703125],[58.0893669128418],[60.21337890625],[55.68583679199219],[60.21213150024414],[57.23970413208008]
580,[54.76641845703125],[58.145084381103516],[61.225215911865234],[55.759010314941406],[61.22947311401367],[57.048709869384766]
581,[54.76641845703125],[58.066226959228516],[62.32257843017578],[55.84636688232422],[62.261714935302734],[58.22241973876953]
582,[55.87602615356445],[57.99888610839844],[62.15480422973633],[57.03258514404297],[62.16557693481445],[58.02880859375]
583,[55.83879470825195],[59.136173248291016],[62.00640106201172],[56.989952087402344],[62.04982376098633],[59.20505142211914]
584,[55.79885482788086],[60.25761032104492],[63.043888092041016],[56.90876007080078],[63.0974235534668],[60.26226806640625]
585,[55.764041900634766],[60.18802261352539],[64.17782592773438],[56.81745147705078],[64.17399597167969],[60.099971771240234]
586,[55.764041900634766],[61.17416000366211],[64.12210083007812],[55.641761779785156],[64.13133239746094],[59.90646743774414]
587,[55.764041900634766],[61.10983657836914],[63.96998977661133],[55.68583679199219],[64.0178451538086],[61.06045150756836]
588,[54.615665435791016],[61.02592086791992],[63.84394454956055],[55.759010314941406],[63.94637680053711],[60.96804428100586]
589,[54.68204116821289],[62.10112380981445],[63.84394454956055],[54.67203140258789],[63.94637680053711],[59.61174011230469]
590,[54.730918884277344],[60.939945220947266],[65.00886535644531],[55.89531707763672],[65.06627655029297],[58.321224212646484]
591,[54.76641845703125],[60.86880111694336],[64.98039245605469],[55.92353820800781],[65.05226135253906],[58.50941467285156]
592,[55.87602615356445],[60.87501907348633],[66.11819458007812],[57.12648010253906],[66.10740661621094],[58.70491409301758]
593,[55.83879470825195],[60.95175552368164],[67.13233947753906],[56.989952087402344],[67.12772369384766],[60.07949447631836]
594,[55.79885482788086],[60.95175552368164],[67.0741195678711],[56.90876007080078],[67.08628845214844],[59.988521575927734]
595,[56.86933517456055],[60.95175552368164],[66.91584014892578],[58.005615234375],[66.97515106201172],[59.90646743774414]
596,[57.91405487060547],[60.95175552368164],[66.7843246459961],[57.964935302734375],[66.90463256835938],[59.79386520385742]
597,[57.8624153137207],[60.95175552368164],[67.95744323730469],[59.07662582397461],[68.02586364746094],[58.52177810668945]
598,[57.794734954833984],[60.95175552368164],[67.9271240234375],[60.14046096801758],[68.01140594482422],[58.620540618896484]
599,[57.76191329956055],[62.10112380981445],[69.07337951660156],[58.82160568237305],[69.06744384765625],[57.433990478515625]
600,[56.6196174621582],[60.939945220947266],[67.73812866210938],[58.68254089355469],[67.85760498046875],[57.644386291503906]
601,[55.51366424560547],[60.86880111694336],[66.57827758789062],[57.49971008300781],[66.65177917480469],[56.458740234375]
602,[54.46772384643555],[59.70814895629883],[65.35440063476562],[56.45758056640625],[65.48002624511719],[55.39731216430664]
603,[53.46561050415039],[58.649627685546875],[63.268917083740234],[56.57200622558594],[63.25873947143555],[54.31277084350586]
604,[54.79043197631836],[58.75870895385742],[61.21320724487305],[55.560142517089844],[61.10062789916992],[53.337955474853516]
605,[53.66630935668945],[58.910423278808594],[61.354270935058594],[55.68583679199219],[61.51400375366211],[53.63087463378906]
606,[53.72159957885742],[57.82695388793945],[60.4957275390625],[54.59131622314453],[60.63661575317383],[52.55550003051758]
607,[53.732730865478516],[56.69649887084961],[59.61745834350586],[54.718017578125],[59.669578552246094],[51.4955940246582]
608,[52.6131477355957],[56.80388259887695],[58.527469635009766],[53.62309646606445],[58.59502029418945],[50.41253662109375]
609,[52.685386657714844],[55.79445266723633],[58.680152893066406],[53.75098419189453],[58.808719635009766],[48.16526412963867]
610,[52.7357063293457],[54.74368667602539],[57.68223571777344],[53.82207489013672],[57.777408599853516],[46.02423858642578]
611,[52.772621154785156],[54.850399017333984],[56.683876037597656],[53.907203674316406],[56.72187423706055],[43.972164154052734]
612,[51.61274337768555],[52.68720626831055],[55.596229553222656],[53.907203674316406],[55.64883041381836],[40.74424362182617]
613,[51.68855285644531],[51.69229507446289],[55.746742248535156],[53.907203674316406],[55.863040924072266],[38.935420989990234]
614,[51.73978805541992],[51.86320114135742],[55.88499450683594],[53.907203674316406],[56.0087890625],[39.62874221801758]
615,[51.77730941772461],[52.04865646362305],[54.85857391357422],[53.907203674316406],[54.920440673828125],[36.25661087036133]
616,[51.77730941772461],[50.968048095703125],[53.74622344970703],[52.73469543457031],[53.7774772644043],[33.02765655517578]
617,[50.61335372924805],[48.71760940551758],[53.7894401550293],[52.78472900390625],[53.9019660949707],[31.174327850341797]
618,[48.29059982299805],[45.478363037109375],[53.92522430419922],[52.85489273071289],[54.049583435058594],[30.67608070373535]
619,[44.8668098449707],[43.57023239135742],[52.89655685424805],[51.76701736450195],[52.95991134643555],[28.682275772094727]
620,[42.988975524902344],[40.50379180908203],[52.92097473144531],[49.49858474731445],[53.00617599487305],[26.709989547729492]
621,[39.81228256225586],[38.69466018676758],[51.805538177490234],[43.866729736328125],[51.891571044921875],[25.96755599975586]
622,[38.042728424072266],[36.7554817199707],[48.57395935058594],[45.514225006103516],[48.37238693237305],[28.756942749023438]
623,[41.067623138427734],[38.409427642822266],[48.645713806152344],[45.9244499206543],[48.68075180053711],[28.785511016845703]
624,[42.16220474243164],[39.62918472290039],[48.799278259277344],[45.081207275390625],[48.9925422668457],[29.928691864013672]
625,[43.2108039855957],[39.5959587097168],[47.97954177856445],[45.06689453125],[48.06544876098633],[30.892396926879883]
626,[41.81529998779297],[39.48357391357422],[46.86671447753906],[42.781837463378906],[46.91914749145508],[30.772964477539062]
627,[40.60093307495117],[39.431522369384766],[46.921321868896484],[42.98744201660156],[47.05428695678711],[30.61495018005371]
628,[40.75325012207031],[38.25524139404297],[45.901710510253906],[43.116661071777344],[46.01829147338867],[35.160865783691406]
629,[40.846649169921875],[37.17876434326172],[43.75154113769531],[43.28142166137695],[43.733673095703125],[37.27138137817383]
630,[40.88498306274414],[37.34677505493164],[41.568885803222656],[40.91306686401367],[41.494014739990234],[38.19483947753906]
631,[42.06583023071289],[36.24341583251953],[41.769126892089844],[37.450191497802734],[40.68671798706055],[37.67995071411133]
632,[40.77286148071289],[36.42497634887695],[42.01079559326172],[35.32921600341797],[42.307064056396484],[37.41927719116211]
633,[40.82670974731445],[37.6536750793457],[42.21820068359375],[33.45241165161133],[42.491844177246094],[37.324501037597656]
634,[42.03285598754883],[38.7653923034668],[42.21820068359375],[31.60000228881836],[42.51296615600586],[38.54221725463867]
635,[40.77286148071289],[40.887149810791016],[41.050636291503906],[28.547218322753906],[39.991573333740234],[39.66194534301758]
636,[39.608970642089844],[40.685157775878906],[39.929649353027344],[25.617204666137695],[35.16364288330078],[39.53112030029297]
637,[38.53803253173828],[40.50465393066406],[40.00687789916992],[25.0146541595459],[35.71390914916992],[36.8726921081543]
638,[36.29512023925781],[39.23240661621094],[38.95525360107422],[24.425474166870117],[36.183170318603516],[39.47255325317383]
639,[35.479549407958984],[38.155094146728516],[37.933082580566406],[22.579879760742188],[35.32136535644531],[38.18171310424805]
640,[35.804080963134766],[38.3162727355957],[39.20806121826172],[22.87847137451172],[34.16791915893555],[39.54261779785156]
641,[35.91806411743164],[38.40908432006836],[39.26666259765625],[24.270427703857422],[35.54805374145508],[39.33918762207031]
642,[35.952274322509766],[40.760799407958984],[41.671348571777344],[24.266727447509766],[34.40359115600586],[41.75624465942383]
643,[38.339481353759766],[41.75758743286133],[41.479759216308594],[26.599220275878906],[34.504024505615234],[41.5494499206543]
644,[40.43776321411133],[42.699771881103516],[43.72257995605469],[27.455890655517578],[34.48215866088867],[43.78909683227539]
645,[41.34079360961914],[43.62334442138672],[43.46337127685547],[30.89983367919922],[34.57341384887695],[42.2862434387207]
646,[41.073978424072266],[43.47848892211914],[44.558780670166016],[31.466121673583984],[38.16750717163086],[44.6385612487793]
647,[42.101985931396484],[44.492000579833984],[44.3260498046875],[34.788475036621094],[40.339351654052734],[44.38322448730469]
648,[41.968875885009766],[44.40206527709961],[45.45297622680664],[34.08692932128906],[46.450687408447266],[44.34195327758789]
649,[43.08359909057617],[45.46149826049805],[47.603599548339844],[40.007259368896484],[48.40325164794922],[42.89781188964844]
650,[42.9556999206543],[45.37754440307617],[52.88825988769531],[45.20860290527344],[52.93330001831055],[45.44983673095703]
651,[41.704376220703125],[48.57231521606445],[53.88957977294922],[51.22947692871094],[53.901607513427734],[42.88869857788086]
652,[41.775150299072266],[51.62902069091797],[55.83314514160156],[54.87664031982422],[55.7134895324707],[44.263118743896484]
653,[46.3433952331543],[52.61628723144531],[58.735557556152344],[55.33932113647461],[58.474300384521484],[48.82573699951172]
654,[48.335269927978516],[52.382808685302734],[59.68593215942383],[55.636573791503906],[59.52000427246094],[53.06425857543945]
655,[49.24381637573242],[52.16414260864258],[59.41865921020508],[55.13676452636719],[59.352783203125],[54.123783111572266]
656,[50.07655715942383],[52.10765075683594],[60.21337890625],[54.96509552001953],[60.21213150024414],[53.54071044921875]
657,[51.02547836303711],[52.10765075683594],[60.070735931396484],[56.06079864501953],[60.1358642578125],[53.05166244506836]
658,[50.90774154663086],[52.10765075683594],[60.04286193847656],[56.0161018371582],[60.08476638793945],[52.94588088989258]
659,[51.942989349365234],[52.10765075683594],[59.923343658447266],[57.12648010253906],[60.01119613647461],[52.94588088989258]
660,[51.860328674316406],[52.10765075683594],[58.77718734741211],[56.989952087402344],[58.847049713134766],[54.19099044799805]
661,[51.81631088256836],[52.10765075683594],[58.79882049560547],[56.90876007080078],[58.890602111816406],[54.1077995300293]
662,[51.77730941772461],[53.2299919128418],[58.82258605957031],[56.81745147705078],[58.95247268676758],[54.03123092651367]
663,[51.77730941772461],[53.21729278564453],[58.94301986694336],[56.81745147705078],[59.02912902832031],[53.92452621459961]
664,[51.77730941772461],[54.26045608520508],[58.94301986694336],[55.641761779785156],[59.02912902832031],[53.92452621459961]
665,[51.77730941772461],[54.20136642456055],[58.94301986694336],[55.68583679199219],[59.02912902832031],[53.92452621459961]
666,[51.77730941772461],[54.128662109375],[58.94301986694336],[55.759010314941406],[59.02912902832031],[55.172508239746094]
667,[51.77730941772461],[54.06905746459961],[58.94301986694336],[55.84636688232422],[59.02912902832031],[55.08816146850586]
668,[50.61335372924805],[54.06905746459961],[58.94301986694336],[54.67203140258789],[59.02912902832031],[55.01075744628906]
669,[51.83970260620117],[54.06905746459961],[58.94301986694336],[54.71800231933594],[59.02912902832031],[53.64122772216797]
670,[51.822975158691406],[54.06905746459961],[58.943023681640625],[53.62310028076172],[59.02912902832031],[54.99569320678711]
671,[51.81630325317383],[54.06905746459961],[57.798072814941406],[54.927513122558594],[57.86468505859375],[54.98176956176758]
672,[52.90144729614258],[54.06905746459961],[57.81987380981445],[53.77655792236328],[57.90839385986328],[55.01075744628906]
673,[52.85349655151367],[54.06905746459961],[56.70405197143555],[51.503360748291016],[56.79539108276367],[54.90311813354492]
674,[52.81080627441406],[54.06905746459961],[55.70517349243164],[48.15278625488281],[55.74003982543945],[54.90311813354492]
675,[52.772621154785156],[52.92680740356445],[54.61811447143555],[41.41426467895508],[53.44246292114258],[54.90311813354492]
676,[51.61274337768555],[52.95937728881836],[53.63937759399414],[37.08015060424805],[51.29348373413086],[53.64122772216797]
677,[50.507198333740234],[51.88251495361328],[51.54893493652344],[36.87525939941406],[46.703697204589844],[51.199337005615234]
678,[49.46249008178711],[51.982337951660156],[51.703033447265625],[39.12548828125],[44.93284606933594],[51.493255615234375]
679,[48.4647216796875],[52.04865646362305],[51.85147476196289],[39.45888900756836],[43.16539001464844],[51.757877349853516]
680,[46.24055862426758],[52.10765075683594],[52.07516098022461],[41.909385681152344],[42.6435432434082],[51.96721267700195]
681,[45.37065505981445],[54.32666015625],[54.36906814575195],[42.84724426269531],[44.25380325317383],[51.96721267700195]
682,[44.444313049316406],[55.42194747924805],[55.45329284667969],[43.83699035644531],[45.59736251831055],[51.96721267700195]
683,[44.702884674072266],[55.297359466552734],[55.375770568847656],[43.51866149902344],[47.82468032836914],[51.96721267700195]
684,[45.96266174316406],[55.1120491027832],[55.132755279541016],[46.957672119140625],[48.778438568115234],[51.96721267700195]
685,[48.15943908691406],[55.05068588256836],[55.020164489746094],[47.84297180175781],[49.69613265991211],[51.96721267700195]
686,[50.19582748413086],[55.05068588256836],[55.020164489746094],[47.56359100341797],[50.58835983276367],[51.96721267700195]
687,[51.124507904052734],[53.906497955322266],[53.87783432006836],[48.41436767578125],[52.621944427490234],[51.96721267700195]
688,[50.94868087768555],[53.93693923950195],[53.901451110839844],[47.08555221557617],[52.51506423950195],[51.96721267700195]
689,[50.822750091552734],[54.006649017333984],[53.92522430419922],[45.89959716796875],[52.33380126953125],[51.96721267700195]
690,[50.783016204833984],[54.06905746459961],[54.03885269165039],[44.77916717529297],[52.17426681518555],[51.96721267700195]
691,[50.783016204833984],[54.06905746459961],[54.03885269165039],[44.987998962402344],[53.309268951416016],[51.96721267700195]
692,[50.783016204833984],[54.06905746459961],[54.03885269165039],[43.95482635498047],[52.13613510131836],[51.96721267700195]
693,[50.783016204833984],[54.06905746459961],[54.03885269165039],[44.10096740722656],[53.257713317871094],[51.96721267700195]
694,[48.41098403930664],[54.06905746459961],[54.03885269165039],[41.808197021484375],[54.33050537109375],[50.71076965332031]
695,[47.40225601196289],[54.06905746459961],[54.03885269165039],[42.01671600341797],[53.19861602783203],[49.54388427734375]
696,[46.431270599365234],[54.06905746459961],[54.03885269165039],[42.146324157714844],[53.08893585205078],[48.46180725097656]
697,[46.682857513427734],[54.06905746459961],[54.03885269165039],[42.31248474121094],[53.070945739746094],[47.4864387512207]
698,[47.93220901489258],[55.194820404052734],[55.187408447265625],[41.122161865234375],[53.1515007019043],[45.239383697509766]
699,[51.164730072021484],[55.186214447021484],[55.16033172607422],[42.39680099487305],[54.28378677368164],[44.37808609008789]
700,[52.13026809692383],[56.230655670166016],[56.27950668334961],[40.008216857910156],[55.36988067626953],[44.74838638305664]
701,[53.05756759643555],[57.28697204589844],[57.29047775268555],[40.15428924560547],[57.44796371459961],[45.02109909057617]
702,[52.890960693359375],[58.32486343383789],[58.38115310668945],[41.403648376464844],[58.43753433227539],[45.1206169128418]
703,[53.92049789428711],[58.20804977416992],[59.36622619628906],[39.112937927246094],[59.38191604614258],[46.3471794128418]
704,[54.94229507446289],[58.066226959228516],[61.48908615112305],[36.766151428222656],[61.334659576416016],[52.97995376586914]
705,[55.95669937133789],[57.99888610839844],[61.31356430053711],[36.94566345214844],[61.28670883178711],[53.0174446105957]
706,[56.94553756713867],[57.99888610839844],[61.14208221435547],[39.71222686767578],[61.13693618774414],[53.78744888305664]
707,[56.866600036621094],[59.136173248291016],[62.061607360839844],[37.30786895751953],[62.114341735839844],[54.35926055908203]
708,[57.88669967651367],[59.13270950317383],[63.193424224853516],[38.534706115722656],[63.19143295288086],[55.4415168762207]
709,[58.90664291381836],[60.18360137939453],[63.138397216796875],[50.28569412231445],[63.14802169799805],[56.426639556884766]
710,[58.85939407348633],[60.120967864990234],[62.98817443847656],[54.20799255371094],[63.03347396850586],[56.17560958862305]
711,[59.876407623291016],[60.038780212402344],[62.863834381103516],[53.56641387939453],[62.961585998535156],[55.99020767211914]
712,[59.83007049560547],[61.11201095581055],[62.863834381103516],[53.515663146972656],[62.961585998535156],[57.13557052612305]
713,[60.87323760986328],[61.10983657836914],[62.863834381103516],[53.101539611816406],[62.961585998535156],[57.048709869384766]
714,[60.83098602294922],[62.16557693481445],[64.02630615234375],[54.211326599121094],[64.0814208984375],[58.22241973876953]
715,[60.7978515625],[62.0992546081543],[63.99835205078125],[54.0718994140625],[64.0673828125],[58.02880859375]
716,[60.76834487915039],[63.15781021118164],[65.13359069824219],[55.18168640136719],[65.12248229980469],[57.9487190246582]
717,[60.76834487915039],[63.08924865722656],[64.98039245605469],[56.23346710205078],[65.05226135253906],[57.838138580322266]
718,[61.854225158691406],[64.15081024169922],[64.95185852050781],[56.11066436767578],[65.00292205810547],[59.098331451416016]
719,[61.833194732666016],[65.22679901123047],[65.99156188964844],[57.12648010253906],[66.05198669433594],[59.00875473022461]
720,[62.870941162109375],[65.14972686767578],[67.13233947753906],[56.989952087402344],[67.12772369384766],[58.92770767211914]
721,[62.83675003051758],[64.97978973388672],[69.40373229980469],[56.90876007080078],[69.17594909667969],[60.07949447631836]
722,[62.8065071105957],[66.06478881835938],[68.0315170288086],[56.81745147705078],[68.05848693847656],[59.988521575927734]
723,[62.779415130615234],[66.06246185302734],[67.86805725097656],[56.81745147705078],[67.90863037109375],[59.90646743774414]
724,[62.779415130615234],[64.78707122802734],[66.47301483154297],[56.81745147705078],[66.63412475585938],[59.79386520385742]
725,[61.65131759643555],[64.71813201904297],[65.47679138183594],[55.641761779785156],[65.57441711425781],[59.79386520385742]
726,[61.700653076171875],[64.8089599609375],[64.37989807128906],[55.68583679199219],[64.49561309814453],[59.79386520385742]
727,[61.7442512512207],[63.71341323852539],[63.40518569946289],[55.759010314941406],[63.5114631652832],[58.52177810668945]
728,[60.64225769042969],[63.736141204833984],[63.56488037109375],[55.84636688232422],[63.72858428955078],[58.620540618896484]
729,[60.69384765625],[63.82490539550781],[64.87907409667969],[55.84636688232422],[65.00603485107422],[58.70491409301758]
730,[60.73847579956055],[63.90897750854492],[64.98039245605469],[55.84636688232422],[65.05226135253906],[57.546146392822266]
731,[59.6346549987793],[65.07283782958984],[64.95185852050781],[54.67203140258789],[63.85066604614258],[56.37221145629883]
732,[59.688472747802734],[65.07086944580078],[64.82404327392578],[52.40154266357422],[63.810237884521484],[56.55857467651367]
733,[59.73407745361328],[64.97978973388672],[64.82404327392578],[50.26934814453125],[63.87148666381836],[56.75065231323242]
734,[59.7648811340332],[64.8956298828125],[64.82404327392578],[47.10950469970703],[63.94637680053711],[56.859954833984375]
735,[58.62838363647461],[64.8956298828125],[64.82404327392578],[45.18561553955078],[63.94637680053711],[56.859954833984375]
736,[58.68449783325195],[64.8956298828125],[64.82404327392578],[46.838382720947266],[62.781227111816406],[56.85995101928711]
737,[58.7310791015625],[63.71341323852539],[63.6690559387207],[43.63441467285156],[62.82521438598633],[56.85995101928711]
738,[58.76274490356445],[63.736141204833984],[63.69135284423828],[43.89079284667969],[64.02053833007812],[58.117008209228516]
739,[59.85621643066406],[64.9966812133789],[64.87907409667969],[41.64974594116211],[64.0673828125],[59.27854537963867]
740,[59.83007049560547],[65.07086944580078],[64.98039245605469],[62.927181243896484],[64.0178451538086],[60.36741256713867]
741,[60.87323760986328],[64.97978973388672],[64.95185852050781],[64.15958404541016],[65.06627655029297],[61.35240173339844]
742,[60.83098602294922],[66.06478881835938],[65.99156188964844],[62.226165771484375],[65.05226135253906],[61.08060836791992]
743,[61.871402740478516],[66.06246185302734],[65.96251678466797],[61.55314254760742],[66.10740661621094],[60.88499069213867]
744,[61.833194732666016],[65.96952056884766],[65.9338150024414],[61.674591064453125],[66.03790283203125],[60.7713737487793]
745,[63.89279556274414],[65.8827133178711],[66.97441864013672],[61.78584289550781],[67.09322357177734],[62.04117965698242]
746,[64.90587615966797],[68.20779418945312],[69.28903198242188],[61.6871223449707],[69.14981079101562],[63.21235275268555]
747,[65.90275573730469],[70.4797134399414],[71.51985168457031],[62.888389587402344],[71.17056274414062],[64.30612182617188]
748,[65.87336730957031],[71.50550842285156],[72.46382141113281],[62.85549545288086],[72.18934631347656],[66.5462875366211]
749,[66.88309478759766],[72.37042999267578],[73.3115005493164],[63.97277069091797],[73.135009765625],[67.44895935058594]
750,[68.88528442382812],[74.44218444824219],[74.17339324951172],[63.83631134033203],[74.09144592285156],[69.62167358398438]
751,[69.9025650024414],[75.48059844970703],[75.16307067871094],[63.74281692504883],[74.00782775878906],[70.40601348876953]
